Feature,Coefficient,Abs_Coefficient,Correlation_with_Target,Abs_Correlation
MT-TL1,0.018080290755745076,0.018080290755745076,0.21731965565835387,0.21731965565835387
RNU7-154P,0.018037393965625474,0.018037393965625474,0.1701865669537004,0.1701865669537004
KCNH1-IT1,0.017999887961885813,0.017999887961885813,-0.17202990740930071,0.17202990740930071
AC016582.3,-0.017975534571525616,0.017975534571525616,-0.21403225900179518,0.21403225900179518
TRIM47,-0.0176694314408049,0.0176694314408049,-0.17444502617828297,0.17444502617828297
DTHD1,0.017579584323466877,0.017579584323466877,0.2199402944751374,0.2199402944751374
ATF3,0.017448407156043615,0.017448407156043615,-0.1888043236069856,0.1888043236069856
MRPL45P2,-0.01732055023798864,0.01732055023798864,-0.28811774147578506,0.28811774147578506
CCL3L3,-0.016965226714817226,0.016965226714817226,-0.26627616587325337,0.26627616587325337
AL445307.1,-0.016825933555322716,0.016825933555322716,-0.17049141258626158,0.17049141258626158
IL20RA,0.016807682260793835,0.016807682260793835,0.2130467609046985,0.2130467609046985
SEC11C,-0.016692072506390706,0.016692072506390706,-0.19761805707806432,0.19761805707806432
ADGRG6,0.016656055725786087,0.016656055725786087,0.26798514818344044,0.26798514818344044
AC100810.7,-0.01661984981160924,0.01661984981160924,-0.24573003797183476,0.24573003797183476
LDAH,-0.016590879133260628,0.016590879133260628,-0.20037718628549983,0.20037718628549983
RND3,-0.01658612257774689,0.01658612257774689,-0.23828806573841232,0.23828806573841232
ADAMTS3,0.016413103887593282,0.016413103887593282,0.21713828048404643,0.21713828048404643
AL109766.1,0.016336555603602535,0.016336555603602535,0.1864719518356778,0.1864719518356778
AC091982.1,-0.016309695136358396,0.016309695136358396,-0.23487061735488268,0.23487061735488268
HTRA1,-0.01630645520146714,0.01630645520146714,-0.20380551983302275,0.20380551983302275
C5orf67,0.01620921505004189,0.01620921505004189,0.18243068945240795,0.18243068945240795
DNAI3,0.016165698290195252,0.016165698290195252,0.17142902649508135,0.17142902649508135
EEF1AKMT3,-0.016165126950275492,0.016165126950275492,-0.272580804793249,0.272580804793249
NPR3,-0.016093015668728963,0.016093015668728963,-0.35396617519688006,0.35396617519688006
TVP23A,-0.01603109073013728,0.01603109073013728,-0.23749729720758175,0.23749729720758175
FRMPD1,0.015860388596227,0.015860388596227,0.17997651824088165,0.17997651824088165
CFAP69,0.015715378644058656,0.015715378644058656,0.19604071414265276,0.19604071414265276
