Feature,LR_Coefficient,LR_Abs,RF_Importance
C16orf74,-0.05064087904728605,0.05064087904728605,4.900386316826338e-19
AC074254.2,-0.0505799269268785,0.0505799269268785,6.64423475483382e-05
DCAF10,-0.050456406169181976,0.050456406169181976,0.000205801743341738
BTF3L4P1,-0.050299753359145924,0.050299753359145924,0.003404608761303484
ADCY2,0.050204422530413066,0.050204422530413066,0.0003069743295846806
COA3,-0.05013165827615767,0.05013165827615767,0.00326036411123893
GPNMB,0.049947225507892386,0.049947225507892386,0.002001955809766322
EXO5,0.04957740503448432,0.04957740503448432,0.00037376693233504216
KIAA1671,0.04957728279810708,0.04957728279810708,0.009019895164995486
PFDN1,-0.049254849107068205,0.049254849107068205,0.0009730887678264246
EEF1AKMT3,-0.04874251430713408,0.04874251430713408,0.00012629361421988056
CCNH,-0.04873372061726711,0.04873372061726711,0.0021917948507684678
CTF1,0.0486701750478808,0.0486701750478808,0.009324028506045218
EEF1A1P9,-0.048396197840292456,0.048396197840292456,0.0020826379800137932
ING2,0.04832882701705705,0.04832882701705705,0.0001539948619375419
AC087627.1,-0.04816036567638575,0.04816036567638575,0.0016064693367877157
CERKL,0.04806943621480356,0.04806943621480356,0.0006319330837978685
SEC11C,-0.048040825431967506,0.048040825431967506,0.0014205309768783817
ME3,-0.04803440802113061,0.04803440802113061,0.0001723695011830625
AP006545.2,-0.04796955383065283,0.04796955383065283,0.0007544146122825305
MIR6781,0.04785641622070275,0.04785641622070275,0.0
ANKRD35,-0.04782230978764916,0.04782230978764916,0.00018795629840823345
MTATP8P1,-0.0476686842283823,0.0476686842283823,0.00017921717372661506
LPL,-0.04748770829556746,0.04748770829556746,0.0010972635044607438
MSRA,0.04746186916256355,0.04746186916256355,0.0009581920468153873
SUPT3H,-0.047445355925448976,0.047445355925448976,9.79941544116435e-05
AL451050.2,-0.047408308916867654,0.047408308916867654,0.00042230256865047696
NOA1,0.04730894434990992,0.04730894434990992,0.0010381411803469223
AC016735.1,-0.04725378603150607,0.04725378603150607,0.0
LMO7,0.04721022975204623,0.04721022975204623,0.00019039035262390498
IQCN,0.047123984487762886,0.047123984487762886,0.0006066006436366014
AC016876.3,-0.04697424999313342,0.04697424999313342,0.00010802064200122424
TTC4,0.04682274234568796,0.04682274234568796,0.0006555626758242513
EIF4BP6,0.04681202224021317,0.04681202224021317,0.0016502037599642396
PPARG,0.04665453318709094,0.04665453318709094,0.0005593639657108536
FAM169A,-0.04660312056045505,0.04660312056045505,0.0
AC026271.1,0.046459907350592945,0.046459907350592945,0.00040697139325392005
KDM6A,-0.04645981018755271,0.04645981018755271,0.0001714232802315696
ARL2,-0.046401885773223225,0.046401885773223225,0.001194342755025829
BLACAT1,-0.046245920445266105,0.046245920445266105,0.0017335162888596463
AL445985.1,-0.04623516343198965,0.04623516343198965,0.0003513888336496519
ADGRG6,-0.04620395166955878,0.04620395166955878,0.0007530607470562262
AC092809.3,0.04609560436321668,0.04609560436321668,0.0
TMEM159,-0.04600969309437611,0.04600969309437611,0.00018310844577711083
WNT16,0.04583044267517236,0.04583044267517236,0.000790909319995804
RN7SL832P,-0.04576299845238088,0.04576299845238088,9.75101770330394e-05
ZNF148,0.04562442137573302,0.04562442137573302,0.0
GDI2P2,-0.04550311683084451,0.04550311683084451,0.0009128006906944025
LINC02356,0.04545152535812336,0.04545152535812336,0.0
AL096701.4,-0.04543782970746545,0.04543782970746545,0.0014365808493593743
SRRM4,0.04524417653803223,0.04524417653803223,0.0
ANAPC15,0.04495629192509208,0.04495629192509208,0.0008678506757587658
CRIM1-DT,-0.0449417066285575,0.0449417066285575,0.0
NRXN3,-0.04493085018939297,0.04493085018939297,0.000731562932099263
TMEM143,-0.0448963903886815,0.0448963903886815,0.0
RPSAP11,-0.044657986161069495,0.044657986161069495,0.00205958902343113
BTG2,0.044543471265458344,0.044543471265458344,0.0003903966038931395
ZNF280C,0.044515675804118124,0.044515675804118124,0.00043466087855714025
HOXC11,-0.04450166012188249,0.04450166012188249,0.002244665913688413
POLR1E,-0.044441287538513244,0.044441287538513244,0.0004687354980957485
AL603839.3,0.04440668241905055,0.04440668241905055,0.0003736167807010712
ZNF521,0.04433089014926566,0.04433089014926566,0.001647126518147839
