Feature,Coefficient_full_dataset,Abs_Coefficient_full_dataset,Coefficient_filtered_dataset,Abs_Coefficient_filtered_dataset
FP565260.3,-0.061379870259743535,0.061379870259743535,-0.0031966083354678745,0.0031966083354678745
LANCL3,-0.06130641910550037,0.06130641910550037,-0.035905485834644736,0.035905485834644736
VSTM2L,0.0612615603830207,0.0612615603830207,-0.023699674887503942,0.023699674887503942
SAR1B,0.06116023349691801,0.06116023349691801,0.02419376856875075,0.02419376856875075
SMUG1,0.06107452698460452,0.06107452698460452,0.05693516338576962,0.05693516338576962
CDK2AP2,-0.06074515131216404,0.06074515131216404,0.002896130227901947,0.002896130227901947
NINJ2-AS1,0.06071617118480608,0.06071617118480608,0.03630167608718029,0.03630167608718029
AC009686.2,-0.06058383203269916,0.06058383203269916,-0.006667712982229077,0.006667712982229077
RNU6-88P,-0.05986022883412202,0.05986022883412202,-0.02665900570333949,0.02665900570333949
RABIF,0.059842603098662434,0.059842603098662434,0.029218218651076627,0.029218218651076627
HOXC10,0.059835648639825205,0.059835648639825205,0.08758958931804904,0.08758958931804904
GJB2,-0.05967385379499477,0.05967385379499477,0.015223550980871699,0.015223550980871699
NUDCP2,0.05962179444053613,0.05962179444053613,0.06905633588283928,0.06905633588283928
PRIMA1,-0.059220914793385704,0.059220914793385704,-0.023229271821111043,0.023229271821111043
RNF167,0.05916885386933866,0.05916885386933866,0.05416762928170209,0.05416762928170209
ADGRG6,0.05900826085670949,0.05900826085670949,0.0005457803967119021,0.0005457803967119021
RFESD,0.058837253336580304,0.058837253336580304,0.05172670267817975,0.05172670267817975
AC004596.1,-0.058816462518114156,0.058816462518114156,-0.0018680808757645193,0.0018680808757645193
H2BC17,-0.058695462999434886,0.058695462999434886,-0.014920212406160935,0.014920212406160935
MMP19,0.058605954068832906,0.058605954068832906,0.001214825225409697,0.001214825225409697
AC002467.1,0.058456536860492646,0.058456536860492646,0.051994918829555065,0.051994918829555065
HOXC4,0.05834887094536291,0.05834887094536291,0.05530756387815972,0.05530756387815972
RARA-AS1,0.05796151541302463,0.05796151541302463,0.043885062716232236,0.043885062716232236
BTG1,0.057945263710298844,0.057945263710298844,0.018933702398169352,0.018933702398169352
GNS,0.057904452887676726,0.057904452887676726,0.013935260302131358,0.013935260302131358
GHDC,0.05788842316752998,0.05788842316752998,0.047760192284293325,0.047760192284293325
AC073063.1,0.057808771484627194,0.057808771484627194,0.00218344404689878,0.00218344404689878
AP000223.1,-0.05776286313263438,0.05776286313263438,-0.012986910466156592,0.012986910466156592
CD44,-0.0576062145448495,0.0576062145448495,-0.06622808204704625,0.06622808204704625
DPYSL3,0.05747153764581127,0.05747153764581127,0.0166470443567063,0.0166470443567063
RIT2,-0.05713649680970264,0.05713649680970264,-0.025973258963781744,0.025973258963781744
CPD,0.05700673649890194,0.05700673649890194,0.03568602913758125,0.03568602913758125
RGS16,0.056777859369372664,0.056777859369372664,0.0013823454639474819,0.0013823454639474819
NPR3,0.05667413648406678,0.05667413648406678,0.023400051942920146,0.023400051942920146
FCRLB,-0.05665109007758244,0.05665109007758244,-0.03142032083498051,0.03142032083498051
HMGN2P41,0.05664029572701816,0.05664029572701816,0.045748074026018395,0.045748074026018395
DDX25,0.05648969867794222,0.05648969867794222,-0.021605241263805166,0.021605241263805166
GNGT2,-0.05639698226461578,0.05639698226461578,0.02017390965391646,0.02017390965391646
HS3ST3A1,0.056334598437766996,0.056334598437766996,-0.004605798818826202,0.004605798818826202
AL109917.1,-0.0563208152627948,0.0563208152627948,-0.01613388873117881,0.01613388873117881
PCDHB4,0.056267860206495275,0.056267860206495275,0.036987767563088275,0.036987767563088275
LINC02182,0.0562464427936459,0.0562464427936459,-0.005638471806564297,0.005638471806564297
OLR1,-0.056142839718372084,0.056142839718372084,0.021504163587567692,0.021504163587567692
NAGS,0.056015842388043156,0.056015842388043156,0.04588688819938521,0.04588688819938521
AC091825.3,0.05579892101182926,0.05579892101182926,0.05462758097082145,0.05462758097082145
ACTR1A,0.05579091306395488,0.05579091306395488,0.07188291834350702,0.07188291834350702
BCL11B,0.055774327925225145,0.055774327925225145,0.03792669640081287,0.03792669640081287
HTR7,0.05573530719323686,0.05573530719323686,0.03115626080401154,0.03115626080401154
SERGEF,-0.05571151546411211,0.05571151546411211,-0.009566783353798847,0.009566783353798847
MAGEE1,0.05549818211282303,0.05549818211282303,0.040670590119969964,0.040670590119969964
MIXL1,-0.05512195153703162,0.05512195153703162,0.04352115961468308,0.04352115961468308
SHISA5,-0.05489942656890123,0.05489942656890123,-0.03462106202729455,0.03462106202729455
TMEM159,-0.05484765254903072,0.05484765254903072,-0.02299802157474183,0.02299802157474183
FAM241B,0.054794873154566506,0.054794873154566506,0.008845724966681831,0.008845724966681831
LIN7A,-0.05464847183292284,0.05464847183292284,-0.02338370009513011,0.02338370009513011
LDHAP7,0.054512159106661115,0.054512159106661115,0.010027592108282066,0.010027592108282066
DUSP14,-0.05449110010354953,0.05449110010354953,-0.009350110492416427,0.009350110492416427
RPLP0P2,0.05411090050164685,0.05411090050164685,0.022258700996387524,0.022258700996387524
AP002784.1,0.05402052056255092,0.05402052056255092,0.002089786986075079,0.002089786986075079
C12orf75,-0.05382916196581855,0.05382916196581855,-0.01655607630071601,0.01655607630071601
AP001363.2,-0.053501799037795186,0.053501799037795186,-0.05473123276109369,0.05473123276109369
MSANTD3,-0.05321863038427529,0.05321863038427529,-0.047758384447078125,0.047758384447078125
ADCY2,0.053209493347543386,0.053209493347543386,0.028715559041624192,0.028715559041624192
AC080188.1,-0.05319157358540474,0.05319157358540474,0.028048865199385722,0.028048865199385722
SEZ6,-0.05313288195288464,0.05313288195288464,1.7373680451474966e-05,1.7373680451474966e-05
TMEM233,0.05303755607653581,0.05303755607653581,0.03463986832502252,0.03463986832502252
HMX1,-0.05292226869383925,0.05292226869383925,-0.017051364863387628,0.017051364863387628
HOXB-AS1,0.05286768461329992,0.05286768461329992,0.05211807346544888,0.05211807346544888
AL603839.3,0.05282916972553598,0.05282916972553598,0.04489541003946862,0.04489541003946862
PSMD9,0.052809481958561215,0.052809481958561215,0.038110594645116576,0.038110594645116576
TIMM22,-0.052800080251214666,0.052800080251214666,-0.020283771278809887,0.020283771278809887
PSMD3,0.05269670966938681,0.05269670966938681,0.05256664288239289,0.05256664288239289
MPI,-0.05269323204258092,0.05269323204258092,0.0025831290183462577,0.0025831290183462577
AC083837.1,0.05253029300944401,0.05253029300944401,0.0014611582943673883,0.0014611582943673883
RGS4,0.05248535649935465,0.05248535649935465,-0.0028583229318499934,0.0028583229318499934
TMEM199,-0.05229791854475343,0.05229791854475343,-0.01724134843116964,0.01724134843116964
SPRYD4,-0.05219406212475561,0.05219406212475561,-0.0032965093724055786,0.0032965093724055786
RND3,0.0521135010428588,0.0521135010428588,-0.0059998149592188224,0.0059998149592188224
RAB1A,0.05191693317987063,0.05191693317987063,-0.012798883457479598,0.012798883457479598
AC083906.5,-0.05188114218889354,0.05188114218889354,-0.0005197785725792851,0.0005197785725792851
SLC39A4,0.05184585527104819,0.05184585527104819,-0.015806577620655047,0.015806577620655047
ACTA1,0.05182283052284,0.05182283052284,0.0487459452346104,0.0487459452346104
UBA6-AS1,0.051690567944390836,0.051690567944390836,0.0017051089136096743,0.0017051089136096743
ELAVL4,0.051620343495695754,0.051620343495695754,0.019768775206351938,0.019768775206351938
