Feature,Coefficient,Abs_Coefficient
AC007684.1,0.013399796788508368,0.013399796788508368
AC060766.7,0.01339871529513645,0.01339871529513645
NAALADL1,-0.01339125749571023,0.01339125749571023
AP003108.1,0.013387837480047056,0.013387837480047056
AC022415.1,0.013385499801365022,0.013385499801365022
RNU4-8P,0.013371052916575133,0.013371052916575133
TDRD9,0.013362557729803375,0.013362557729803375
AC241585.1,0.013345168046704605,0.013345168046704605
IGFBP3,-0.013341915403281527,0.013341915403281527
RPL29P19,-0.013330282762441595,0.013330282762441595
AC080162.1,-0.013328267230157748,0.013328267230157748
ITGAX,-0.01331109617106307,0.01331109617106307
POPDC2,-0.01331085287325394,0.01331085287325394
AC063943.1,-0.013296197668478,0.013296197668478
AC006157.1,-0.013279892368933496,0.013279892368933496
RNU6-190P,0.013279148114536923,0.013279148114536923
CHMP5P1,-0.01327413508426523,0.01327413508426523
CEP290,0.013271276982529907,0.013271276982529907
SLC4A1APP1,0.013242420829793577,0.013242420829793577
RPL31P30,-0.013225415193269903,0.013225415193269903
PNPO,-0.01322446263273194,0.01322446263273194
RPS4XP13,0.01321994595341844,0.01321994595341844
SLC7A2,-0.013213168816364121,0.013213168816364121
NLGN4Y-AS1,-0.013212370443972929,0.013212370443972929
TDGF1P7,0.013207437989116336,0.013207437989116336
PROK1,0.013206307138025295,0.013206307138025295
CD247,-0.013201874230110995,0.013201874230110995
FTH1P13,0.013193840441814679,0.013193840441814679
PEG10,0.013193492627496948,0.013193492627496948
MRAP2,0.013190163577426556,0.013190163577426556
RPS26P39,-0.013185107486348475,0.013185107486348475
GPRASP2,0.013177926470592303,0.013177926470592303
SELENBP1,0.013154475821252173,0.013154475821252173
TINAGL1,0.013153304930242127,0.013153304930242127
LRRC37A5P,-0.013148206781149883,0.013148206781149883
SNORA5C,-0.013146361949349603,0.013146361949349603
NPR1,0.013142977587338704,0.013142977587338704
ZNF876P,-0.013142729503777005,0.013142729503777005
AC002075.2,-0.013142004232050957,0.013142004232050957
AC008050.1,0.013123208803588535,0.013123208803588535
MRTFB,0.013119230810502184,0.013119230810502184
MDM4,0.013115600044870727,0.013115600044870727
LINC00924,0.01310701288663019,0.01310701288663019
LRRC3B,-0.013101043031356964,0.013101043031356964
DPY19L1P1,0.013096152944004041,0.013096152944004041
PRANCR,0.013093175910978243,0.013093175910978243
PSME2P3,0.013086163255213862,0.013086163255213862
ASTE1,-0.013078978902589217,0.013078978902589217
CCDC171,-0.013044841756761861,0.013044841756761861
RNU1-153P,-0.013038169208703012,0.013038169208703012
AL451007.2,0.013033054245674637,0.013033054245674637
PCDHGA2,0.01302652066599476,0.01302652066599476
ETNK2,0.013026128020466857,0.013026128020466857
GSTT2B,-0.013024503554683759,0.013024503554683759
AC002401.4,-0.013022438947698898,0.013022438947698898
C7,0.013017861353508702,0.013017861353508702
AC110602.1,-0.013017444997773697,0.013017444997773697
MIR6812,0.013016030894083616,0.013016030894083616
SLC13A5,0.013013623726608269,0.013013623726608269
SLC35E3,-0.013010879101068492,0.013010879101068492
AC007406.3,-0.013003235826192094,0.013003235826192094
TAS2R19,0.013001751518800488,0.013001751518800488
AC002074.1,0.012998840473656945,0.012998840473656945
RPL10P19,-0.012990120414774648,0.012990120414774648
CFL1P1,0.012989839553582214,0.012989839553582214
AC026403.1,-0.012980407393886229,0.012980407393886229
AL590560.3,-0.012980261727097157,0.012980261727097157
IDO1,-0.012969806672480846,0.012969806672480846
DIO3,-0.012964044801416509,0.012964044801416509
AC103563.7,0.012963380331325628,0.012963380331325628
